year,category,can_cpi,can_exp_share,can_exp_growth,oecd_cpi,oecd_exp_share,oecd_exp_growth
2022,CP01,9.746202166666668,0.009326207267038042,1138.3502245655145,13.881541280850964,0.011815993662989946,8835.84243306479
2022,CP01,9.746202166666668,0.011293452395367684,0.2109373158885873,13.881541280850964,0.011815993662989946,8835.84243306479
2022,CP01,9.746202166666668,0.01002956628266718,-0.11191317486041034,13.881541280850964,0.011815993662989946,8835.84243306479
2022,CP01,9.746202166666668,8.999148943211597e-06,-0.9991027379759417,13.881541280850964,0.011815993662989946,8835.84243306479
2023,CP01,8.19407018181818,0.008996320116280505,1034.148756660746,12.660456702020207,0.013398320733357364,40180.48361326064
2023,CP01,8.19407018181818,0.01176714526462442,0.3079953928417458,12.660456702020207,0.013398320733357364,40180.48361326064
2023,CP01,8.19407018181818,0.009674799848561564,-0.1778124913910152,12.660456702020207,0.013398320733357364,40180.48361326064
2023,CP01,8.19407018181818,9.387813472233273e-06,-0.9990296632882147,12.660456702020207,0.013398320733357364,40180.48361326064
2021,CP01,2.2054561541666664,0.01028257637674968,1197.355,1.8886553812784674,0.012724639970621105,12517.835139139524
2021,CP01,2.2054561541666664,0.011325588315178449,0.10143488365300767,1.8886553812784674,0.012724639970621105,12517.835139139524
2021,CP01,2.2054561541666664,0.011058062338563693,-0.023621375699858276,1.8886553812784674,0.012724639970621105,12517.835139139524
2021,CP01,2.2054561541666664,8.788226130876929e-06,-0.9992052652750718,1.8886553812784674,0.012724639970621105,12517.835139139524
2021,CP041,1.6905351999999996,0.0059979085605782875,698.01,1.6849158837887672,0.003100158491811534,154.69058105188648
2021,CP041,1.6905351999999996,0.006442983047405651,0.07420494699646643,1.6849158837887672,0.003100158491811534,154.69058105188648
2021,CP041,1.6905351999999996,0.006339807024518194,-0.016013703920733077,1.6849158837887672,0.003100158491811534,154.69058105188648
2021,CP041,1.6905351999999996,8.720439578998458e-06,-0.9986244944766814,1.6849158837887672,0.003100158491811534,154.69058105188648
2022,CP041,4.6559455000000005,8.494045734320858e-06,0.0457542064351078,5.3505484477456475,0.0030077823544662785,157.7115017845254
2022,CP041,4.6559455000000005,0.0057988565708046525,681.6966503575461,5.3505484477456475,0.0030077823544662785,157.7115017845254
2022,CP041,4.6559455000000005,0.006514153045420495,0.12335129622228042,5.3505484477456475,0.0030077823544662785,157.7115017845254
2022,CP041,4.6559455000000005,0.006129408498518793,-0.05906286576613048,5.3505484477456475,0.0030077823544662785,157.7115017845254
2020,CP041,1.6747462416666667,0.006231318800227061,686.4097427031425,1.532596798834499,0.0031486530836423833,188.12227027271842
2020,CP041,1.6747462416666667,0.006586522317414859,0.05700294409184383,1.532596798834499,0.0031486530836423833,188.12227027271842
2020,CP041,1.6747462416666667,0.006586522317414859,0.0,1.532596798834499,0.0031486530836423833,188.12227027271842
2020,CP041,1.6747462416666667,9.218881837212524e-06,-0.99860034151667,1.532596798834499,0.0031486530836423833,188.12227027271842
2020,CP01,2.404925525000001,0.011082709272650966,1234.4074606926317,2.837600122054433,0.013196938545081981,12667.1543392815
2020,CP01,2.404925525000001,0.011918539194421839,0.07541747249776447,2.837600122054433,0.013196938545081981,12667.1543392815
2020,CP01,2.404925525000001,0.011918539194421839,0.0,2.837600122054433,0.013196938545081981,12667.1543392815
2020,CP01,2.404925525000001,9.218881837212524e-06,-0.9992265090807834,2.837600122054433,0.013196938545081981,12667.1543392815
2023,CP041,6.185302727272728,0.005754174710038106,-0.027916029271160162,6.220149862148271,0.002902983590746779,199.38647880828765
2023,CP041,6.185302727272728,0.006877347131709887,0.19519261723360876,6.220149862148271,0.002902983590746779,199.38647880828765
2023,CP041,6.185302727272728,0.006082179571668632,-0.11562126279403838,6.220149862148271,0.002902983590746779,199.38647880828765
2023,CP041,6.185302727272728,8.727123812426343e-06,-0.9985651321685604,6.220149862148271,0.002902983590746779,199.38647880828765
