group,cluster,year,category,avg_cpi
Canada,,2020,CP01,2.404925525000001
Canada,,2020,CP041,1.6747462416666667
Canada,,2021,CP01,2.2054561541666664
Canada,,2021,CP041,1.6905351999999996
Canada,,2022,CP01,9.746202166666668
Canada,,2022,CP041,4.6559455000000005
Canada,,2023,CP01,8.19407018181818
Canada,,2023,CP041,6.185302727272728
Cluster 0,0.0,2020,CP01,2.822386183755456
Cluster 0,0.0,2020,CP02,2.7106016893819933
Cluster 0,0.0,2020,CP03,-0.5914076749313727
Cluster 0,0.0,2020,CP04,-0.4010801039430145
Cluster 0,0.0,2020,CP041,1.5184918974554709
Cluster 0,0.0,2020,CP042,1.7502955315656559
Cluster 0,0.0,2020,CP043,2.7891522384103657
Cluster 0,0.0,2020,CP044,2.7828642812920035
Cluster 0,0.0,2020,CP045,-4.477748730640061
Cluster 0,0.0,2020,CP05,1.3083585796518258
Cluster 0,0.0,2020,CP06,1.9506934059568284
Cluster 0,0.0,2020,CP07,-2.449789019981896
Cluster 0,0.0,2020,CP08,-0.7296020909843756
Cluster 0,0.0,2020,CP09,0.9979939278300629
Cluster 0,0.0,2020,CP10,1.8859844223743991
Cluster 0,0.0,2020,CP11,1.7123059214803569
Cluster 0,0.0,2020,CP12,2.057090639586396
Cluster 0,0.0,2020,_T,0.7333190247558595
Cluster 0,0.0,2021,CP01,1.6895930875714278
Cluster 0,0.0,2021,CP02,2.860721977080268
Cluster 0,0.0,2021,CP03,0.57569085585722
Cluster 0,0.0,2021,CP04,5.228427164241658
Cluster 0,0.0,2021,CP041,1.6690764872019859
Cluster 0,0.0,2021,CP042,3.8608212777777777
Cluster 0,0.0,2021,CP043,3.824989741540934
Cluster 0,0.0,2021,CP044,2.0656612160315864
Cluster 0,0.0,2021,CP045,11.740634246046582
Cluster 0,0.0,2021,CP05,2.1997843244635
Cluster 0,0.0,2021,CP06,1.5127276838109949
Cluster 0,0.0,2021,CP07,7.34548285220867
Cluster 0,0.0,2021,CP08,-0.23117400316176473
Cluster 0,0.0,2021,CP09,1.9373068791434505
Cluster 0,0.0,2021,CP10,1.7191972484365785
Cluster 0,0.0,2021,CP11,2.8665507787166846
Cluster 0,0.0,2021,CP12,1.9949899516635379
Cluster 0,0.0,2021,_T,3.017174225520831
Cluster 0,0.0,2022,CP01,13.260159496104396
Cluster 0,0.0,2022,CP02,4.527070170742749
Cluster 0,0.0,2022,CP03,3.3499052826204956
Cluster 0,0.0,2022,CP04,18.144796861111132
Cluster 0,0.0,2022,CP041,5.489095501622269
Cluster 0,0.0,2022,CP042,11.649562970238094
Cluster 0,0.0,2022,CP043,12.097041195075755
Cluster 0,0.0,2022,CP044,3.943263645615945
Cluster 0,0.0,2022,CP045,37.2498535245763
Cluster 0,0.0,2022,CP05,8.432760128238918
Cluster 0,0.0,2022,CP06,3.1873515371369936
Cluster 0,0.0,2022,CP07,14.14818410953284
Cluster 0,0.0,2022,CP08,0.05082109933080796
Cluster 0,0.0,2022,CP09,5.425131588068177
Cluster 0,0.0,2022,CP10,3.022197480113638
Cluster 0,0.0,2022,CP11,10.178932840903611
Cluster 0,0.0,2022,CP12,5.470963099250797
Cluster 0,0.0,2022,_T,10.037734688476561
Cluster 0,0.0,2023,CP01,11.658965073117546
Cluster 0,0.0,2023,CP02,6.70715850164956
Cluster 0,0.0,2023,CP03,5.087899544477027
Cluster 0,0.0,2023,CP04,5.628529616430841
Cluster 0,0.0,2023,CP041,6.1879585928030325
Cluster 0,0.0,2023,CP042,9.930404965909085
Cluster 0,0.0,2023,CP043,9.232689767992422
Cluster 0,0.0,2023,CP044,7.2040894292140125
Cluster 0,0.0,2023,CP045,3.4503395358112354
Cluster 0,0.0,2023,CP05,7.250162371107042
Cluster 0,0.0,2023,CP06,5.527652415139297
Cluster 0,0.0,2023,CP07,2.164713004545453
Cluster 0,0.0,2023,CP08,1.3159625529007815
Cluster 0,0.0,2023,CP09,6.108095441593351
Cluster 0,0.0,2023,CP10,5.295299850898092
Cluster 0,0.0,2023,CP11,9.999314133308904
Cluster 0,0.0,2023,CP12,7.119564690096529
Cluster 0,0.0,2023,_T,7.230019824385204
Cluster 0,0.0,2024,CP01,3.459490531079933
Cluster 0,0.0,2024,CP02,5.75425169132653
Cluster 0,0.0,2024,CP03,2.348561361394558
Cluster 0,0.0,2024,CP04,1.5513996013605442
Cluster 0,0.0,2024,CP041,3.965640648809523
Cluster 0,0.0,2024,CP042,1.114786580026455
Cluster 0,0.0,2024,CP043,3.4959159958333315
Cluster 0,0.0,2024,CP044,5.042325858843536
Cluster 0,0.0,2024,CP045,-0.8347795139795924
Cluster 0,0.0,2024,CP05,1.4843913598852037
Cluster 0,0.0,2024,CP06,4.94257567006803
Cluster 0,0.0,2024,CP07,2.345526231930272
Cluster 0,0.0,2024,CP08,1.81521865340136
Cluster 0,0.0,2024,CP09,2.6476873333333337
Cluster 0,0.0,2024,CP10,6.029362923044218
Cluster 0,0.0,2024,CP11,5.195788415816326
Cluster 0,0.0,2024,CP12,4.4905521432823114
Cluster 0,0.0,2024,_T,2.4686811968596056
Cluster 1,1.0,2020,CP01,13.839045166666665
Cluster 1,1.0,2020,CP02,18.719589762500007
Cluster 1,1.0,2020,CP03,5.898736154166666
Cluster 1,1.0,2020,CP04,12.519261083333333
Cluster 1,1.0,2020,CP05,10.050771249999999
Cluster 1,1.0,2020,CP06,14.37060541666668
Cluster 1,1.0,2020,CP07,12.068348833333332
Cluster 1,1.0,2020,CP08,4.309220666666666
Cluster 1,1.0,2020,CP09,6.978264458333334
Cluster 1,1.0,2020,CP10,10.65259929166667
Cluster 1,1.0,2020,CP11,12.106436666666667
Cluster 1,1.0,2020,CP12,22.382633749999993
Cluster 1,1.0,2020,_T,12.263642500000001
Cluster 1,1.0,2021,CP01,24.070729999999998
Cluster 1,1.0,2021,CP02,4.737878791666669
Cluster 1,1.0,2021,CP03,8.289459375000003
Cluster 1,1.0,2021,CP04,17.58563208333333
Cluster 1,1.0,2021,CP05,24.85724958333334
Cluster 1,1.0,2021,CP06,18.403812083333335
Cluster 1,1.0,2021,CP07,26.371090000000006
Cluster 1,1.0,2021,CP08,6.568603458333335
Cluster 1,1.0,2021,CP09,12.732527583333335
Cluster 1,1.0,2021,CP10,11.751466041666669
Cluster 1,1.0,2021,CP11,21.286304999999995
Cluster 1,1.0,2021,CP12,19.537110833333333
Cluster 1,1.0,2021,_T,19.42098
Cluster 1,1.0,2022,CP01,85.15336875000001
Cluster 1,1.0,2022,CP02,67.55678541666667
Cluster 1,1.0,2022,CP03,31.39564791666666
Cluster 1,1.0,2022,CP04,68.64154208333333
Cluster 1,1.0,2022,CP05,79.90853750000001
Cluster 1,1.0,2022,CP06,47.43567250000001
Cluster 1,1.0,2022,CP07,101.0698675
Cluster 1,1.0,2022,CP08,23.80161458333333
Cluster 1,1.0,2022,CP09,50.79790666666667
Cluster 1,1.0,2022,CP10,29.99775333333334
Cluster 1,1.0,2022,CP11,71.97770583333339
Cluster 1,1.0,2022,CP12,62.91014541666666
Cluster 1,1.0,2022,_T,71.96646416666667
Cluster 1,1.0,2023,CP01,65.84055624999999
Cluster 1,1.0,2023,CP02,51.93891
Cluster 1,1.0,2023,CP03,27.021292916666663
Cluster 1,1.0,2023,CP04,34.61989916666667
Cluster 1,1.0,2023,CP05,54.847247500000016
Cluster 1,1.0,2023,CP06,73.95510000000002
Cluster 1,1.0,2023,CP07,50.07811458333333
Cluster 1,1.0,2023,CP08,41.65161541666665
Cluster 1,1.0,2023,CP09,50.407615416666665
Cluster 1,1.0,2023,CP10,58.57532083333333
Cluster 1,1.0,2023,CP11,80.56065333333333
Cluster 1,1.0,2023,CP12,53.58951041666668
Cluster 1,1.0,2023,_T,53.49037666666666
Cluster 1,1.0,2024,_T,60.060990833333335
Cluster 2,2.0,2020,CP01,1.601379068229167
Cluster 2,2.0,2020,CP02,3.7535460729166665
Cluster 2,2.0,2020,CP03,0.12867958033333327
Cluster 2,2.0,2020,CP04,-0.10877325510416681
Cluster 2,2.0,2020,CP041,1.6865753055555555
Cluster 2,2.0,2020,CP042,0.9794327291666667
Cluster 2,2.0,2020,CP043,1.8274630732954549
Cluster 2,2.0,2020,CP044,1.757297458333334
Cluster 2,2.0,2020,CP045,-4.587153611111112
Cluster 2,2.0,2020,CP05,0.8573520432291666
Cluster 2,2.0,2020,CP06,1.7506972141025636
Cluster 2,2.0,2020,CP07,-1.0802817700641023
Cluster 2,2.0,2020,CP08,-1.6054776711538459
Cluster 2,2.0,2020,CP09,1.4200665558333332
Cluster 2,2.0,2020,CP10,-0.4841933270833336
Cluster 2,2.0,2020,CP11,1.1211367602272728
Cluster 2,2.0,2020,CP12,1.7209201461538461
Cluster 2,2.0,2020,_T,0.8054299166666666
Cluster 2,2.0,2021,CP01,0.28925763286458317
Cluster 2,2.0,2021,CP02,3.6417420677083325
Cluster 2,2.0,2021,CP03,1.0848650958333332
Cluster 2,2.0,2021,CP04,2.699482768125
Cluster 2,2.0,2021,CP041,1.8578292965277778
Cluster 2,2.0,2021,CP042,0.9208361437499997
Cluster 2,2.0,2021,CP043,4.105317057323232
Cluster 2,2.0,2021,CP044,2.448625361111112
Cluster 2,2.0,2021,CP045,9.096416505354165
Cluster 2,2.0,2021,CP05,2.1722172916666667
Cluster 2,2.0,2021,CP06,1.4394490173076924
Cluster 2,2.0,2021,CP07,6.513094287179488
Cluster 2,2.0,2021,CP08,-0.4268150154487179
Cluster 2,2.0,2021,CP09,1.5438743633333336
Cluster 2,2.0,2021,CP10,-1.053708941666666
Cluster 2,2.0,2021,CP11,2.128810224318182
Cluster 2,2.0,2021,CP12,1.6863135525641018
Cluster 2,2.0,2021,_T,2.035687478070176
Cluster 2,2.0,2022,CP01,11.31334047916667
Cluster 2,2.0,2022,CP02,4.806193583333332
Cluster 2,2.0,2022,CP03,6.294366263888889
Cluster 2,2.0,2022,CP04,19.926503680555555
Cluster 2,2.0,2022,CP041,3.9419867333333323
Cluster 2,2.0,2022,CP042,2.517545741666667
Cluster 2,2.0,2022,CP043,10.810565791666669
Cluster 2,2.0,2022,CP044,3.0250563055555553
Cluster 2,2.0,2022,CP045,58.35284305555555
Cluster 2,2.0,2022,CP05,7.914033881944445
Cluster 2,2.0,2022,CP06,2.913430125
Cluster 2,2.0,2022,CP07,13.421737048611112
Cluster 2,2.0,2022,CP08,0.39045346388888885
Cluster 2,2.0,2022,CP09,5.356320895833334
Cluster 2,2.0,2022,CP10,1.0430316666666657
Cluster 2,2.0,2022,CP11,10.087706062500002
Cluster 2,2.0,2022,CP12,3.9946197013888884
Cluster 2,2.0,2022,_T,10.112757680555555
Cluster 2,2.0,2023,CP01,12.519507575757574
Cluster 2,2.0,2023,CP02,6.851515151515151
Cluster 2,2.0,2023,CP03,5.11022727272727
Cluster 2,2.0,2023,CP04,10.6375
Cluster 2,2.0,2023,CP041,6.638636363636365
Cluster 2,2.0,2023,CP042,4.5374576666666675
Cluster 2,2.0,2023,CP043,4.895643939393939
Cluster 2,2.0,2023,CP044,5.820454545454547
Cluster 2,2.0,2023,CP045,22.384090909090908
Cluster 2,2.0,2023,CP05,4.253977272727271
Cluster 2,2.0,2023,CP06,3.8204545454545453
Cluster 2,2.0,2023,CP07,0.08901515151515155
Cluster 2,2.0,2023,CP08,4.154545454545453
Cluster 2,2.0,2023,CP09,6.689772727272727
Cluster 2,2.0,2023,CP10,-0.6409090909090904
Cluster 2,2.0,2023,CP11,8.661174242424243
Cluster 2,2.0,2023,CP12,2.9210227272727276
Cluster 2,2.0,2023,_T,5.048085434764311
Cluster 2,2.0,2024,CP01,2.7166666666666672
Cluster 2,2.0,2024,CP02,7.879166666666667
Cluster 2,2.0,2024,CP03,2.6124999999999985
Cluster 2,2.0,2024,CP04,1.1583333333333334
Cluster 2,2.0,2024,CP041,7.1499999999999995
Cluster 2,2.0,2024,CP042,6.845292583333333
Cluster 2,2.0,2024,CP043,0.5583333333333337
Cluster 2,2.0,2024,CP044,8.175000000000006
Cluster 2,2.0,2024,CP045,-18.191666666666674
Cluster 2,2.0,2024,CP05,-0.8333333333333334
Cluster 2,2.0,2024,CP06,6.0625
Cluster 2,2.0,2024,CP07,-0.325
Cluster 2,2.0,2024,CP08,5.158333333333331
Cluster 2,2.0,2024,CP09,4.250000000000001
Cluster 2,2.0,2024,CP10,4.616666666666667
Cluster 2,2.0,2024,CP11,5.170833333333335
Cluster 2,2.0,2024,CP12,3.320833333333334
Cluster 2,2.0,2024,_T,2.9083333333333328
Cluster 3,3.0,2020,CP01,5.564610916666667
Cluster 3,3.0,2020,CP02,3.557264416666665
Cluster 3,3.0,2020,CP03,-1.4693813916666667
Cluster 3,3.0,2020,CP04,2.288226916666667
Cluster 3,3.0,2020,CP05,0.30290087000000004
Cluster 3,3.0,2020,CP06,4.574414583333334
Cluster 3,3.0,2020,CP07,1.5905553999999995
Cluster 3,3.0,2020,CP08,-0.9109339541666669
Cluster 3,3.0,2020,CP09,2.5588529249999996
Cluster 3,3.0,2020,CP10,2.188841833333335
Cluster 3,3.0,2020,CP11,3.5336383333333323
Cluster 3,3.0,2020,CP12,2.597584833333333
Cluster 3,3.0,2021,CP01,9.707908000000002
Cluster 3,3.0,2021,CP02,3.008280333333333
Cluster 3,3.0,2021,CP03,-1.4939001158333332
Cluster 3,3.0,2021,CP04,2.8965921666666663
Cluster 3,3.0,2021,CP05,1.997763591666667
Cluster 3,3.0,2021,CP06,4.035011916666666
Cluster 3,3.0,2021,CP07,3.996187666666667
Cluster 3,3.0,2021,CP08,-3.9682561266666667
Cluster 3,3.0,2021,CP09,0.39064885583333325
Cluster 3,3.0,2021,CP10,-4.508219608333335
Cluster 3,3.0,2021,CP11,5.758659083333332
Cluster 3,3.0,2021,CP12,2.98906175
Cluster 3,3.0,2022,CP01,24.8951675
Cluster 3,3.0,2022,CP02,6.686092833333333
Cluster 3,3.0,2022,CP03,4.1064246550000005
Cluster 3,3.0,2022,CP04,5.788347083333334
Cluster 3,3.0,2022,CP05,13.370134083333335
Cluster 3,3.0,2022,CP06,7.2598575
Cluster 3,3.0,2022,CP07,8.877139583333333
Cluster 3,3.0,2022,CP08,-6.539258516666667
Cluster 3,3.0,2022,CP09,4.9755494166666665
Cluster 3,3.0,2022,CP10,3.9850780000000015
Cluster 3,3.0,2022,CP11,15.00824416666667
Cluster 3,3.0,2022,CP12,8.982631500000002
Cluster 3,3.0,2023,CP01,16.030992818181815
Cluster 3,3.0,2023,CP02,11.614509090909094
Cluster 3,3.0,2023,CP03,7.314634272727274
Cluster 3,3.0,2023,CP04,7.8632134545454555
Cluster 3,3.0,2023,CP05,14.143513272727272
Cluster 3,3.0,2023,CP06,10.62356181818182
Cluster 3,3.0,2023,CP07,16.988372727272726
Cluster 3,3.0,2023,CP08,0.3536219954545455
Cluster 3,3.0,2023,CP09,9.003129727272727
Cluster 3,3.0,2023,CP10,10.011974636363638
Cluster 3,3.0,2023,CP11,17.15204
Cluster 3,3.0,2023,CP12,13.553229999999997
